point,xgboost_rmse,other_mean_rmse,advantage,xgboost_rank,Autoformer_RMSE,Informer_RMSE,LSTM类模型_RMSE,LightGBM_RMSE,N-HiTS_RMSE,TimesFM_RMSE,XGBoost_RMSE
point266,0.0024020951898840494,0.014115735468483043,0.011713640278598994,1,0.016372998379507273,0.010966701953999965,0.002580126705802235,0.0025090998587531574,0.01933503264242507,0.03293045327041056,0.0024020951898840494
point956,0.002410467642475088,0.014081205811720494,0.011670738169245406,1,0.018573392645069093,0.00946446794468608,0.0025747668222322424,0.002480158869512324,0.02065626390306685,0.03073818468575637,0.002410467642475088
point597,0.0019990727612951204,0.013660139574793983,0.011661066813498863,1,0.018469366267626283,0.0102289031032501,0.002138659831916576,0.0020511011768445243,0.01711629964955766,0.03195650741956876,0.0019990727612951204
point525,0.002566279067137297,0.014224748688845561,0.011658469621708264,1,0.020651842947975407,0.013144992705028979,0.0027429483599525546,0.002609736668205592,0.009793871321448508,0.03640510013046233,0.002566279067137297
point336,0.002667431061692889,0.014323150291343007,0.011655719229650117,1,0.020202350311360483,0.01384192319571389,0.002933623616830936,0.0027251093021579222,0.016355053699390935,0.02988084162260387,0.002667431061692889
point269,0.0018388366702077608,0.01335312134545808,0.011514284675250319,1,0.01880440828824761,0.011969982474760547,0.002064911451379129,0.001880141777819385,0.01819782957668404,0.02720145450385776,0.0018388366702077608
point912,0.0017588386476112714,0.013064346047827446,0.011305507400216176,1,0.016345461247014127,0.010691967009122144,0.002093865879872604,0.0017975498830920698,0.019721238041649766,0.027735994226213964,0.0017588386476112714
point509,0.002890914060411554,0.014186186518030705,0.011295272457619151,1,0.018400427036159798,0.01034815805488681,0.0031668820336455085,0.0029622118153775647,0.012365872791330283,0.037873567376784274,0.002890914060411554
point586,0.004014202118373058,0.01529278300482223,0.011278580886449173,1,0.02217085159630302,0.015443890048926694,0.004146352215224574,0.0040305328153743426,0.009616197215696596,0.036348874137408164,0.004014202118373058
point925,0.002280662047948258,0.013526672381803466,0.011246010333855208,1,0.017680671362081016,0.013789997249155013,0.0024500749912293143,0.002352615130680348,0.01676908077740506,0.028117594780270035,0.002280662047948258
point376,0.0011978234296416593,0.012353708506747519,0.011155885077105859,1,0.017393122306956266,0.011750898639914721,0.002055137901503675,0.0012183968839923555,0.014042249492222767,0.027662445815895328,0.0011978234296416593
point972,0.0029744725727595287,0.014102954003887952,0.011128481431128424,1,0.020279017731034743,0.01565783205040935,0.0034849372060827234,0.003075937082788011,0.017965799252488642,0.024154200700524237,0.0029744725727595287
point588,0.0027005460661800344,0.013798341056213262,0.011097794990033227,1,0.018343514746358758,0.010827725677369815,0.0030077097753751164,0.0028403745424484734,0.018679669830959283,0.029091051764768127,0.0027005460661800344
point328,0.0039046548548451947,0.014985640148901094,0.0110809852940559,1,0.021920308074304354,0.015338961203440669,0.003927767392356765,0.00395415662337754,0.011374376453067422,0.03339827114685982,0.0039046548548451947
point45,0.0016947754635000696,0.012767422758981954,0.011072647295481885,1,0.0212854912094348,0.01234786000146458,0.0021527915281942373,0.00181802087679509,0.019813726391482663,0.019186646546520355,0.0016947754635000696
point405,0.002203032937317862,0.013237078401337544,0.011034045464019683,1,0.019103104085019598,0.010914523868111049,0.0023133706695213176,0.002275475712287144,0.01914153146476096,0.025674464608325186,0.002203032937317862
point894,0.0019378594691506724,0.012929240308388296,0.010991380839237622,1,0.01480697413141849,0.011528200045254835,0.0019594741028468618,0.002059954714348862,0.017708981110324623,0.029511857746136093,0.0019378594691506724
point680,0.001226440585452584,0.012196322045949316,0.010969881460496732,1,0.019008825479249515,0.01242713231492014,0.0021127496092729946,0.0012586777073784348,0.013155653228101145,0.02521489393677367,0.001226440585452584
point444,0.002691535604924481,0.013595479639501673,0.010903944034577192,1,0.019078621364141363,0.014692401003008166,0.0034294941633500275,0.002829748764554351,0.014539871851329813,0.027002740690626314,0.002691535604924481
point28,0.002726888499065195,0.013557075705620389,0.010830187206555193,1,0.015783739110215703,0.01315904455825817,0.002801372005941061,0.0027604803108036316,0.015198248449742418,0.031639569798761334,0.002726888499065195
point48,0.003136898721261609,0.013724204895966726,0.010587306174705118,1,0.020705361420390398,0.013399503453023152,0.0034666820992497707,0.003194686649842649,0.012648816148877275,0.028930179604417117,0.003136898721261609
point229,0.0020881234859684546,0.012649143047009084,0.010561019561040629,1,0.016124959690010758,0.010604044502526281,0.0021525484931596383,0.0022728799636532768,0.015732211249102786,0.029008214383601752,0.0020881234859684546
point63,0.0015698112340950944,0.012118216336658308,0.010548405102563213,1,0.01760824667136431,0.010765598797879515,0.001851959583131929,0.001578661444454299,0.015334659059317008,0.025570172463802797,0.0015698112340950944
point58,0.001734456635006364,0.012237659433530336,0.010503202798523972,1,0.015650940938393462,0.010681618191439398,0.0018822858326112077,0.0018310171836558803,0.01831301835869856,0.025067076096383516,0.001734456635006364
point940,0.0020626169114614113,0.012547192287672627,0.010484575376211216,1,0.014625204462634902,0.011848895748953016,0.002099457192373947,0.0020738241710550093,0.017452055726117088,0.027183716424901805,0.0020626169114614113
point130,0.0026340998940468873,0.013052555477869468,0.01041845558382258,1,0.01595398316389769,0.012849459618844499,0.0027299609034732294,0.0026653562163825423,0.013761015701799755,0.030355557262819098,0.0026340998940468873
point168,0.0020706061525615185,0.01248496957986691,0.010414363427305392,1,0.015105303554489241,0.011228138321611096,0.0021439851454693242,0.0021888847962522836,0.009774113026986055,0.034469392634393456,0.0020706061525615185
point156,0.001931824122231745,0.012308933551748336,0.010377109429516591,1,0.015908558200856196,0.008599303880740605,0.0022994332046744775,0.0020474118071041798,0.01865142942953836,0.0263474647875762,0.001931824122231745
point50,0.0020626169114614113,0.012394618718408246,0.010332001806946834,1,0.014625204462634902,0.010933454333366727,0.002099457192373947,0.0020738241710550093,0.017452055726117088,0.027183716424901805,0.0020626169114614113
point814,0.0018796465402990618,0.01220548365976614,0.01032583711946708,1,0.019674221324930317,0.011657643192390366,0.002089406249858027,0.0019699980872568486,0.008820404736381833,0.029021228367779445,0.0018796465402990618
point617,0.0019420608741195207,0.0122455405966131,0.01030347972249358,1,0.019186513712361512,0.011375501529093729,0.003015063443721868,0.001956508499818261,0.011784179632688463,0.026155476761994777,0.0019420608741195207
point530,0.0028506851911467923,0.013071965656970108,0.010221280465823317,1,0.01871165484995581,0.01396828753527105,0.003326836446946907,0.002912026895086908,0.014761658213180175,0.024751330001379794,0.0028506851911467923
point189,0.0018324444997051645,0.012014979449249938,0.010182534949544773,1,0.01668214056432333,0.01217876362197585,0.002812335006593125,0.0018358925850847439,0.013029583293999213,0.025551161623523368,0.0018324444997051645
point796,0.0035341421067793402,0.013679591161285962,0.010145449054506622,1,0.01858441203296155,0.014065765602032026,0.004148585841495445,0.0037158350153681575,0.01013553483204437,0.03142741364381422,0.0035341421067793402
point611,0.0027734031286015494,0.012915658911869224,0.010142255783267676,1,0.01738366567848079,0.01327882549845378,0.00278038008778565,0.0028555038758601276,0.015641036581408262,0.025554541749226733,0.0027734031286015494
point683,0.001584638765099658,0.011713002808709419,0.01012836404360976,1,0.015157631530984657,0.00980643825872245,0.0017449869088320994,0.0016440157768923159,0.016684774294733317,0.025240170082091673,0.001584638765099658
